page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,,302,"Thompson, Nicholas","Finish Gun
02:38:08",45-49,M
1,,303,"Leite, Anderson","Finish Gun
02:38:36",40-44,M
1,,304,"Rusche, Bryan","Finish Gun
02:38:21",45-49,M
1,,305,"Lebreton, Julien","Finish Gun
02:40:07",40-44,M
1,,306,"Eles, Stephen","Finish Gun
02:38:13",40-44,M
1,,307,"Giannini, Leonardo","Finish Gun
02:38:37",18-39,M
1,,308,"Kawaoka, Elliot","Finish Gun
02:38:50",18-39,M
1,,309,"Smith, Kent","Finish Gun
02:38:18",18-39,M
1,,310,"Johnson, Anthony","Finish Gun
02:38:18",40-44,M
1,,311,"Vrolijk, Michel","Finish Gun
02:38:11",18-39,M
1,,312,"Danoff, Alexander","Finish Gun
02:39:47",18-39,M
1,,313,"Misko, Cameron","Finish Gun
02:41:07",18-39,M
1,,314,"Jessop, Carson","Finish Gun
02:38:38",18-39,M
1,,315,"Pazin, Jack","Finish Gun
02:38:52",18-39,M
1,,316,"Rubin, Daniel","Finish Gun
02:38:47",18-39,M
1,,317,"Duno, Jeand","Finish Gun
02:39:46",18-39,M
1,,318,"Woollard, Landon","Finish Gun
02:38:16",18-39,M
1,,319,"Castro, Cristobal","Finish Gun
02:38:32",18-39,M
1,,320,"Faucher, Ian","Finish Gun
02:38:46",18-39,M
1,,321,"Gregg, Paul","Finish Gun
02:39:42",18-39,M
1,,322,"Tsai, Spencer","Finish Gun
02:39:39",18-39,M
1,,323,"Mujezinovic, Ermin","Finish Gun
02:38:33",18-39,M
1,,324,"Waraniak, Justin","Finish Gun
02:40:25",18-39,M
1,,325,"Phillips, Dave","Finish Gun
02:38:45",18-39,M
1,,326,"Weingart, Benjamin","Finish Gun
02:39:21",18-39,M
1,,327,"Lobo, Rodrigo","Finish Gun
02:39:30",40-44,M
1,,328,"Jones, Dylan","Finish Gun
02:39:07",18-39,M
1,,329,"Mano, Ryuji","Finish Gun
02:38:45",18-39,M
1,,330,"Williams, Brent","Finish Gun
02:38:59",18-39,M
1,,331,"Wolferz, Richard","Finish Gun
02:39:00",18-39,M
