page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,3695,308,"Barcelos, Marjorie",03:07:59,18-39,W
1,3696,309,"Knast, Lindsey",03:12:04,18-39,W
1,3697,310,"Harris, Mikie",03:05:55,18-39,W
1,3706,311,"Chantler, Jeslyn",03:09:49,18-39,W
1,3708,312,"Garcia-Cabrera, Raquel",03:05:19,40-44,W
1,3709,313,"Kowalczyk, Krista",03:05:55,18-39,W
1,3713,314,"Lizak, Marisa",03:10:24,40-44,W
1,3716,315,"Staude, Nichole",03:06:00,18-39,W
1,3717,316,"Nelson, Parker",03:09:56,18-39,W
1,3721,317,"Trachtenberg, Molly",03:05:36,18-39,W
1,3736,318,"Mahoney, Caroline",03:07:30,18-39,W
1,3744,319,"Schumacher, Kyleigh",03:11:31,18-39,W
1,3750,320,"Boulier, Kristin",03:05:24,18-39,W
1,3751,321,"Lesage, Julie",03:07:36,18-39,W
1,3759,322,"Dunn, Melissa",03:07:34,18-39,W
1,3770,323,"Glenn, Kathryn",03:12:27,18-39,W
1,3774,324,"Coli, Giuliana",03:07:24,18-39,W
1,3780,325,"Vandemore, Emma",03:07:46,18-39,W
1,3789,326,"Looker, Aleta",03:06:10,18-39,W
1,3790,327,"Modde, Clarissa",03:08:30,18-39,W
1,3793,328,"Dorrington, Jessica",03:09:40,40-44,W
1,3796,329,"Yang, Rochelle",03:06:39,18-39,W
1,3803,330,"Duclos, Emeline",03:05:47,18-39,W
1,3809,331,"Gomez Ortega, Monica",03:11:13,18-39,W
1,3812,332,"Johnston, Haley",03:10:41,18-39,W
1,3815,333,"Koestinger, Ulrike",03:06:39,18-39,W
1,3817,334,"Angelo, Thia",03:05:48,18-39,W
1,3821,335,"Kalesnikava, Viktoryia",03:05:57,40-44,W
1,3823,336,"Lua, Alexa",03:10:17,18-39,W
1,3826,337,"Brennan, Meghan",03:11:01,18-39,W
1,3829,338,"Harris, Haley",03:06:42,18-39,W
1,3835,339,"Guy, Maria",03:06:25,18-39,W
1,3836,340,"James, Allison",03:11:33,18-39,W
1,3838,341,"Barrett, Samantha",03:05:57,18-39,W
1,3843,342,"Carreon, Chandler",03:09:01,18-39,W
1,3846,343,"Kruse, Cassie",03:11:34,18-39,W
1,3847,344,"Hayes, Kathryn",03:07:41,18-39,W
1,3856,345,"Dickson, Kate",03:07:03,18-39,W
1,3857,346,"Martinez Villanueva, Astrid",03:07:31,18-39,W
1,3859,347,"Brownlee, Holly",03:06:35,18-39,W
1,3860,348,"Tygesen, Kendra",03:08:43,18-39,W
1,3861,349,"Jorgensen, Samantha",03:11:45,18-39,W
1,3863,350,"Wynne, Brianna",03:07:22,18-39,W
1,3872,351,"Desenfants, Morgan",03:07:20,18-39,W
1,3873,352,"Blum, Merritt",03:06:45,18-39,W
1,3886,353,"Roth, Lauren",03:06:25,40-44,W
1,3888,354,"Driscoll, Nicole",03:06:27,18-39,W
1,3890,355,"Boucher, Savannah",03:10:19,18-39,W
1,3892,356,"Beever, Margaret",03:08:57,45-49,W
1,3901,357,"Macedo, Lyvia",03:06:09,18-39,W
1,3904,358,"Zblewski, Anna",03:06:10,18-39,W
1,3908,359,"Cole, Claire",03:10:43,18-39,W
1,3912,360,"Mantilla, Laura",03:11:15,18-39,W
1,3913,361,"Lee, Bettina",03:08:22,18-39,W
1,3919,362,"Folco, Mariana",03:11:53,18-39,W
1,3921,363,"Mullins, Lauren",03:07:03,18-39,W
1,3928,364,"Wittrock, Morgan",03:08:26,18-39,W
1,3933,365,"Wilson, Stephanie",03:11:50,18-39,W
1,3936,366,"Craig, Mary",03:09:01,18-39,W
1,3940,367,"Procell, Dara",03:07:31,18-39,W
1,3941,368,"Rogers, Alysia",03:08:46,18-39,W
1,3943,369,"Astrike-Davis, Emma",03:07:36,18-39,W
1,3948,370,"Cosio Patiño, Paola Carolina",03:06:39,18-39,W
1,3951,371,"Jones, Jessica",03:06:32,18-39,W
1,3966,372,"Suttor, Audrey",03:10:07,18-39,W
1,3969,373,"White, Sarah",03:12:02,18-39,W
1,3971,374,"Roth, Jamie",03:10:46,40-44,W
1,3973,375,"Reinoso, Gabriela",03:06:36,18-39,W
1,3974,376,"De Sousa, Jade",03:08:18,18-39,W
1,3976,377,"Gaudrault, Lila",03:08:51,18-39,W
1,3979,378,"Alvarado, Carolina",03:14:29,40-44,W
1,3986,379,"Suarez, Emily",03:09:20,18-39,W
1,3993,380,"Delaney-Guille, Cristin",03:07:38,40-44,W
1,3995,381,"Wojtach, Arden",03:14:07,18-39,W
1,3999,382,"Sullivan, Bridgette",03:11:08,18-39,W
1,4007,383,"Rush, Pamela",03:08:37,18-39,W
1,4008,384,"Grant, Azure",03:08:36,18-39,W
1,4016,385,"Petter, Abby",03:12:39,40-44,W
1,4021,386,"Arnold, Kaitlyn",03:13:39,18-39,W
1,4022,387,"Leverone, Natalie",03:13:17,40-44,W
1,4025,388,"Villeneuve, Andréanne",03:08:20,40-44,W
1,4026,389,"Fisher, Sydney",03:12:08,18-39,W
1,4032,390,"Wilson, Emma",03:13:18,18-39,W
